Name,ClsName,Tier,Mass,MinShieldRegen,MaxShieldRegen,MinShieldCap,MaxShieldCap,MinEnergyRegen,MaxEnergyRegen,MinEnergyCap,MaxEnergyCap,MinShipSpeed,MaxShipSpeed,MinShipRotate,MaxShipRotate,MinShipAccel,MaxShipAccel,MinBurstDPS,MaxBurstDPS,MinBurstDamage,MaxBurstDamage
Fly,Fly,1,60,2,3,75,100,10,15,40,60,125,145,110,130,100,120,20,24,5,6
Delta-Fighter,DeltaFighter,2,80,3,4,100,150,15,25,50,80,110,135,80,100,110,120,27,45,9,15
Trident,Trident,2,100,3,5,125,175,15,20,50,80,110,135,70,85,90,110,20,40,8,16
Side-Fighter,SideFighter,3,90,2,4,125,175,20,35,75,125,100,120,50,70,100,130,40,60,4,6
Pulse-Fighter,PulseFighter,3,120,3,5,150,200,20,30,60,90,105,120,60,80,80,100,33,66,21,42
Shadow X-1,ShadowX1,3,70,3,6,90,130,12,16,50,80,120,155,35,60,130,150,36,48,6,8
Y-Defender,YDefender,3,200,4,6,175,225,18,25,50,80,80,100,40,60,70,80,40,80,20,40
Vanguard,Vanguard,4,200,3,4,140,190,25,35,80,140,75,90,90,120,60,80,108,150,36,50
X-Warrior,XWarrior,4,250,3,5,150,200,35,55,90,150,75,100,50,90,90,110,44,72,16,26
Mercury,Mercury,4,200,3,5,150,200,30,50,100,150,85,105,60,90,60,80,44,80,26,50
Side-Interceptor,SideInterceptor,4,120,3,6,175,225,30,40,100,150,80,110,50,100,110,140,50,70,10,14
Pioneer,Pioneer,4,250,4,7,175,230,25,30,50,100,90,120,40,80,50,100,36,66,12,22
Crusader,Crusader,4,250,5,7,250,300,20,35,50,90,75,100,40,70,80,100,36,54,12,18
U-Sniper,USniper,5,200,4,6,200,300,40,60,80,160,70,90,50,70,60,110,160,240,80,120
T-Warrior,TWarrior,5,250,4,7,225,325,35,50,80,140,80,90,50,80,90,120,60,90,20,30
Aetos,Aetos,5,175,5,7,200,300,35,45,80,140,90,100,70,90,110,130,50,80,10,16
Shadow X-2,ShadowX2,5,125,5,7,150,220,19,29,80,145,110,140,35,48,140,160,50,70,10,14
FuryStar,FuryStar,5,200,6,7,200,275,30,40,100,150,70,100,120,180,150,180,56,88,26,40
Howler,Howler,5,225,5,7,275,340,35,50,80,110,85,98,70,95,90,120,48,78,23,38
Bat-Defender,BatDefender,5,350,7,10,300,400,25,35,70,100,70,90,40,70,90,100,50,74,20,30
Advanced-Fighter,AdvancedFighter,6,400,4,6,200,350,50,60,120,200,70,80,30,50,70,100,150,282,110,194
Scorpion,Scorpion,6,450,5,7,225,400,38,50,80,175,75,90,50,70,80,100,59,110,58,112
Marauder,Marauder,6,250,8,11,210,350,25,40,85,160,70,110,60,80,80,120,124,208,18,32
Condor,Condor,6,200,7,10,225,400,30,48,70,130,75,105,50,70,80,120,84,168,36,72
A-Speedster,ASpeedster,6,175,6,8,200,300,30,45,80,140,90,115,60,80,90,140,70,132,54,108
Rock-Tower,RockTower,6,450,8,11,300,500,35,45,75,115,75,90,50,70,80,90,64,96,8,12
Barracuda,Barracuda,6,675,8,12,300,400,8,14,100,150,70,90,30,45,130,150,0,0,0,0
O-Defender,ODefender,6,500,10,13,400,550,25,40,70,100,70,80,30,40,60,80,70,120,35,60
Odyssey,Odyssey,7,700,15,15,750,750,150,150,330,330,45,45,20,20,150,150,490,490,330,330
Shadow X-3,ShadowX3,7,350,10,10,400,400,45,45,250,250,140,140,35,35,35,35,281,281,241,241
Bastion,Bastion,7,350,20,20,400,400,100,100,500,500,80,80,15,15,125,125,184,184,68,68
Aries,Aries,7,800,17,17,800,800,175,175,350,350,40,40,20,20,150,150,345,345,210,210
